"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","button_pressed","left_image","center_image","right_image","target_label","target_side","correct_response","background","correct"
"true","fullscreen","0","2758165","0.0-0.0","","","","","","","","","","",""
"","audio-button-response-flexiblelocations","1","2765061","0.0-1.0","null","stimuli/sounds/meetnewfriends.wav","null","girl1","black","girl2","none","center","1","black-background","false"
"","audio-button-response-flexiblelocations","2","2771568","0.0-2.0","null","stimuli/sounds/hi_olivia.wav","null","girl1outline","black","girl2gray","red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","3","2778074","0.0-3.0","null","stimuli/sounds/hi_emily.wav","null","girl1gray","black","girl2outline","blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","4","2785755","0.0-4.0","7175","stimuli/sounds/1lookatme.wav","2","girl1outline","","girl2gray","red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","5","2798697","0.0-5.0","12437","stimuli/sounds/2lookatme.wav","0","girl1gray","","girl2outline","blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","6","2805201","0.0-6.0","null","stimuli/sounds/listen_toys.wav","null","girl1","black","girl2","none","center","1","black-background","false"
"","audio-button-response-flexiblelocations","7","2811707","0.0-7.0","null","stimuli/sounds/1itthat_ball.wav","null","girl1outline","ball_circle","girl2gray","ball_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","8","2818213","0.0-8.0","null","stimuli/sounds/2itsee_ball.wav","null","girl1gray","ball_circle","girl2outline","ball_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","9","2824719","0.0-9.0","null","stimuli/sounds/1seethat_truck.wav","null","girl1outline","truck_circle","girl2gray","truck_red","left","0","black-background","false"
"","audio-button-response-flexiblelocations","10","2831224","0.0-10.0","null","stimuli/sounds/2thatit_truck.wav","null","girl1gray","truck_circle","girl2outline","truck_blue","right","2","black-background","false"
"","audio-button-response-flexiblelocations","11","2837731","0.0-11.0","null","stimuli/sounds/great_click.wav","null","blank_square","black","blank_square","none","center","1","black-background","false"
"","audio-button-response-flexiblelocations","12","2849833","0.0-12.0","11596","stimuli/sounds/find_truck.wav","0","truck_square","","ball_square","truck","left","0","black-background","true"
"","audio-button-response-flexiblelocations","13","2853899","0.0-13.0","3562","stimuli/sounds/where_ball.wav","2","truck_square","","ball_square","ball","right","2","black-background","true"
"","audio-button-response-flexiblelocations","14","2858906","0.0-14.0","null","stimuli/sounds/nicework.wav","null","LfireworksBlack","black","RfireworksBlack","AG","center","1","black-background","false"
